Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-04,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-05,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-06,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-07,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-10,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-11,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-12,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-13,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-14,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-17,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-18,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-19,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-20,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-21,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-24,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-25,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-26,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-27,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-28,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-01-31,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-01,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-02,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-03,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-04,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-07,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-08,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-09,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-10,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-11,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-14,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-15,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-16,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-17,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-18,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-21,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-22,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-23,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-24,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-25,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-28,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-02-29,198.25,198.25,198.25,198.25,169.2134246826172,0
2000-03-01,198.25,198.25,198.25,198.25,169.2134246826172,0
